timestamp_utc,match_id,team_id,opponent_id,score,rating_before,rating_after,k_factor,replay_path
2026-08-28T20:28:27Z,8a01b253741d,simple-four-modes,vertical-wingbacks,0.5,1500.0,1500.0,32,var/matches/matches/20260828T202638Z-8a01b253741d-simple-four-modes-vs-vertical-wingbacks.ndjson
2026-08-28T20:28:27Z,8a01b253741d,vertical-wingbacks,simple-four-modes,0.5,1500.0,1500.0,32,var/matches/matches/20260828T202638Z-8a01b253741d-simple-four-modes-vs-vertical-wingbacks.ndjson
2026-08-28T20:54:46Z,47f7a38a2c78,nova-strict,simple-four-modes,0.5,1500.0,1500.0,32,var/matches/matches/20260828T205253Z-47f7a38a2c78-nova-strict-vs-simple-four-modes.ndjson
2026-08-28T20:54:46Z,47f7a38a2c78,simple-four-modes,nova-strict,0.5,1500.0,1500.0,32,var/matches/matches/20260828T205253Z-47f7a38a2c78-nova-strict-vs-simple-four-modes.ndjson
2026-08-28T20:59:26Z,dafa2e6a6f56,nova-vertical,release-and-run,1.0,1500.0,1516.0,32,var/matches/matches/20260828T205655Z-dafa2e6a6f56-nova-vertical-vs-release-and-run.ndjson
2026-08-28T20:59:26Z,dafa2e6a6f56,release-and-run,nova-vertical,0.0,1500.0,1484.0,32,var/matches/matches/20260828T205655Z-dafa2e6a6f56-nova-vertical-vs-release-and-run.ndjson
2026-08-28T21:04:15Z,cf69f033f69b,nova-vertical,vertical-wingbacks,0.5,1516.0,1515.264,32,var/matches/matches/20260828T210143Z-cf69f033f69b-nova-vertical-vs-vertical-wingbacks.ndjson
2026-08-28T21:04:15Z,cf69f033f69b,vertical-wingbacks,nova-vertical,0.5,1500.0,1500.736,32,var/matches/matches/20260828T210143Z-cf69f033f69b-nova-vertical-vs-vertical-wingbacks.ndjson
2026-08-28T21:06:58Z,64e2c5147c60,release-and-run,simple-four-modes,1.0,1484.0,1500.736,32,var/matches/matches/20260828T210415Z-64e2c5147c60-release-and-run-vs-simple-four-modes.ndjson
2026-08-28T21:06:58Z,64e2c5147c60,simple-four-modes,release-and-run,0.0,1500.0,1483.264,32,var/matches/matches/20260828T210415Z-64e2c5147c60-release-and-run-vs-simple-four-modes.ndjson
2026-08-28T21:12:47Z,7b2ee6f16e19,simple-four-modes,vertical-wingbacks,0.5,1483.264,1484.068,32,var/matches/matches/20260828T211002Z-7b2ee6f16e19-simple-four-modes-vs-vertical-wingbacks.ndjson
2026-08-28T21:12:47Z,7b2ee6f16e19,vertical-wingbacks,simple-four-modes,0.5,1500.736,1499.932,32,var/matches/matches/20260828T211002Z-7b2ee6f16e19-simple-four-modes-vs-vertical-wingbacks.ndjson
2026-08-28T21:21:13Z,802275682b41,release-counterpress-g1,nova-vertical,0.5,1500.0,1500.702,32,var/matches/matches/20260828T211839Z-802275682b41-release-counterpress-g1-vs-nova-vertical.ndjson
2026-08-28T21:21:13Z,802275682b41,nova-vertical,release-counterpress-g1,0.5,1515.264,1514.562,32,var/matches/matches/20260828T211839Z-802275682b41-release-counterpress-g1-vs-nova-vertical.ndjson
2026-08-28T21:26:58Z,9475b66f4322,release-counterpress-g1,vertical-safe-release-g1,0.5,1500.702,1500.67,32,var/matches/matches/20260828T212515Z-9475b66f4322-release-counterpress-g1-vs-vertical-safe-release-g1.ndjson
2026-08-28T21:26:58Z,9475b66f4322,vertical-safe-release-g1,release-counterpress-g1,0.5,1500.0,1500.032,32,var/matches/matches/20260828T212515Z-9475b66f4322-release-counterpress-g1-vs-vertical-safe-release-g1.ndjson
2026-08-28T21:29:09Z,2273399b50c9,vertical-direct-shot-g1,release-and-run,0.0,1500.0,1484.034,32,var/matches/matches/20260828T212658Z-2273399b50c9-vertical-direct-shot-g1-vs-release-and-run.ndjson
2026-08-28T21:29:09Z,2273399b50c9,release-and-run,vertical-direct-shot-g1,1.0,1500.736,1516.702,32,var/matches/matches/20260828T212658Z-2273399b50c9-vertical-direct-shot-g1-vs-release-and-run.ndjson
2026-08-28T21:31:33Z,7ce889307d29,vertical-safe-release-g1,release-and-run,0.0,1500.032,1484.799,32,var/matches/matches/20260828T212948Z-7ce889307d29-vertical-safe-release-g1-vs-release-and-run.ndjson
2026-08-28T21:31:33Z,7ce889307d29,release-and-run,vertical-safe-release-g1,1.0,1516.702,1531.935,32,var/matches/matches/20260828T212948Z-7ce889307d29-vertical-safe-release-g1-vs-release-and-run.ndjson
2026-08-28T21:33:56Z,c8fd60700a2c,release-and-run,vertical-safe-release-g1,0.5,1531.935,1529.778,32,var/matches/matches/20260828T213133Z-c8fd60700a2c-release-and-run-vs-vertical-safe-release-g1.ndjson
2026-08-28T21:33:56Z,c8fd60700a2c,vertical-safe-release-g1,release-and-run,0.5,1484.799,1486.956,32,var/matches/matches/20260828T213133Z-c8fd60700a2c-release-and-run-vs-vertical-safe-release-g1.ndjson
2026-08-28T21:39:03Z,0fa640d725ee,release-and-run,nova-vertical,0.5,1529.778,1529.078,32,var/matches/matches/20260828T213631Z-0fa640d725ee-release-and-run-vs-nova-vertical.ndjson
2026-08-28T21:39:03Z,0fa640d725ee,nova-vertical,release-and-run,0.5,1514.562,1515.262,32,var/matches/matches/20260828T213631Z-0fa640d725ee-release-and-run-vs-nova-vertical.ndjson
